CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob.,PutLTP
""
8800,100,0,0,11000,-0.16,32.13,0,2.05
-,-,-,-,12000,-0.26,28.87,0,3.05
7164,99.9,42.21,95.55,13000,-0.71,27.94,0,9.05
-,-,-,-,14000,-1.45,26.05,0,18.6
-,-,-,-,14500,-0.41,19.13,0,3.35
5140,99.8,28.81,94.82,15000,-2.18,22.73,0.1,25.55
4190.9,99.1,26.35,91.77,16000,-3.32,19.39,0.8,34.95
3850,98,29.81,86.27,16500,-,-,-,-
3269.3,96,23.89,87.08,17000,-6.13,16.88,3.9,61.6
2830.7,92.5,22.88,83.65,17500,-8.56,15.72,7.4,84.9
2374.25,87.4,20.95,80.3,18000,-12.02,14.58,12.5,118.45
1909.25,80.3,18.55,76.46,18500,-,-,-,-
1542.85,71.6,18.06,69.6,19000,-24.4,12.56,28.3,249.3
837.45,51,15.47,53.02,20000,-47.15,10.17,48.9,508.65
339.45,31.1,13.31,31.39,21000,-93.14,4.69,68.8,967.45
107.8,16.2,12.37,13.55,22000,0,0,83.7,1706.2
54,7.2,13.72,6.99,23000,0,0,92.7,2555
33.15,2.8,15.36,4.18,24000,-,-,-,-
25.1,0.9,17.28,2.97,25000,-,-,-,-
